"teams","homeTeam","awayTeam","homeScore","awayScore"
"NA","Central Florida","Temple","52","40"
"NA","Akron","Northern Illinois","26","36"
"NA","Western Michigan","Ohio","14","59"
"NA","Arizona","Colorado","42","34"
"NA","Middle Tennessee State","Western Kentucky","29","10"
"NA","Virginia","Pittsburgh","13","23"
"NA","Louisiana State","Alabama","0","29"
"NA","Alabama-Birmingham","Texas-San Antonio","52","3"
"NA","Coastal Carolina","Appalachian State","7","23"
"NA","Arizona State","Utah","38","20"
"NA","Arkansas State","South Alabama","38","14"
"NA","Army","Air Force","17","14"
"NA","Auburn","Texas A&M","28","24"
"NA","Baylor","Oklahoma State","35","31"
"NA","Boise State","Brigham Young","21","16"
"NA","Virginia Tech","Boston College","21","31"
"NA","Cincinnati","Navy","42","0"
"NA","Clemson","Louisville","77","16"
"NA","Miami (FL)","Duke","12","20"
"NA","Eastern Michigan","Central Michigan","17","7"
"NA","Florida International","Florida Atlantic","14","49"
"NA","Nevada-Las Vegas","Fresno State","3","48"
"NA","Kentucky","Georgia","17","34"
"NA","North Carolina","Georgia Tech","28","38"
"NA","Illinois","Minnesota","55","31"
"NA","Kansas","Iowa State","3","27"
"NA","Louisiana-Monroe","Georgia Southern","44","25"
"NA","East Carolina","Memphis","41","59"
"NA","Michigan","Penn State","42","7"
"NA","Maryland","Michigan State","3","24"
"NA","Mississippi State","Louisiana Tech","45","3"
"NA","Florida","Missouri","17","38"
"NA","New Mexico State","Alcorn State","52","42"
"NA","North Carolina State","Florida State","47","28"
"NA","Northwestern","Notre Dame","21","31"
"NA","Ohio State","Nebraska","36","31"
"NA","Texas Tech","Oklahoma","46","51"
"NA","Oregon","UCLA","42","21"
"NA","Purdue","Iowa","38","36"
"NA","New Mexico","San Diego State","23","31"
"NA","Mississippi","South Carolina","44","48"
"NA","Oregon State","Southern California","21","38"
"NA","Southern Methodist","Houston","45","31"
"NA","Southern Mississippi","Marshall","26","24"
"NA","Wake Forest","Syracuse","24","41"
"NA","Tennessee","Charlotte","14","3"
"NA","Texas Christian","Kansas State","14","13"
"NA","Georgia State","Texas State","31","40"
"NA","Rice","Texas-El Paso","26","34"
"NA","Troy","Louisiana","26","16"
"NA","South Florida","Tulane","15","41"
"NA","Tulsa","Connecticut","49","19"
"NA","Hawaii","Utah State","17","56"
"NA","Washington","Stanford","27","23"
"NA","Washington State","California","19","13"
"NA","Texas","West Virginia","41","42"
"NA","Wisconsin","Rutgers","31","17"
"NA","Wyoming","San Jose State","24","9"
"NA","Buffalo","Kent State","48","14"
"NA","Miami (OH)","Ohio","30","28"
"NA","Northern Illinois","Toledo","38","15"
"NA","North Carolina State","Wake Forest","23","27"
"NA","Boise State","Fresno State","24","17"
"NA","Syracuse","Louisville","54","23"
"NA","Air Force","New Mexico","42","24"
"NA","Alabama","Mississippi State","24","0"
"NA","Alabama-Birmingham","Southern Mississippi","26","23"
"NA","Texas State","Appalachian State","7","38"
"NA","Arizona State","UCLA","31","28"
"NA","Coastal Carolina","Arkansas State","16","44"
"NA","Army","Lafayette","31","13"
"NA","Central Michigan","Bowling Green State","13","24"
